event_id,vessel_id1,vessel_id2,event_time,lat,lon,distance_nm,time_gap_sec,risk_level
0,11,12,2023-02-10 02:56:02.952,37.87234878540039,24.502716064453125,0.716,462,Very Low
1,21,22,2023-02-10 00:54:42.156,37.62181854248047,24.113100051879883,2.033,139,Very Low
2,31,32,2023-02-10 10:34:42.756,37.55928802490234,24.066530227661133,0.271,28,High
3,41,42,2023-02-10 03:10:46.938,37.57159805297852,24.10502052307129,0.764,147,Low
4,61,62,2023-02-10 06:59:49.905,37.57069396972656,24.066490173339844,0.785,150,Low
5,101,102,2023-02-10 20:04:29.671,38.06676483154297,24.138015747070312,3.851,1399,Very Low
6,121,122,2023-02-10 16:30:14.795,37.134071350097656,25.16217803955078,0.76,87,Medium
7,131,132,2023-02-11 04:23:49.145,37.337032318115234,25.95134925842285,0.295,75,Medium
8,171,172,2023-02-11 13:32:14.454,38.036075592041016,24.202524185180664,3.568,17,Very Low
9,191,192,2023-02-11 07:02:01.299,38.36915969848633,25.398645401000977,1.062,312,Very Low
10,221,222,2023-02-11 13:10:26.185,37.44535446166992,25.8935661315918,0.408,64,Medium
11,231,232,2023-02-11 14:32:28.846,37.65869903564453,25.81966590881348,1.279,147,Low
12,241,242,2023-02-11 15:50:16.387,37.6168327331543,24.13876914978028,0.508,157,Low
13,261,262,2023-02-11 19:38:28.005,37.60685348510742,24.07918739318848,1.854,579,Very Low
14,311,312,2023-02-12 17:13:40.957,37.32951354980469,25.36005592346192,1.013,117,Low
15,321,322,2023-02-12 11:58:53.997,38.16130065917969,24.7053165435791,0.8,163,Low
16,331,332,2023-02-12 07:34:00.268,37.87351608276367,24.56460952758789,0.224,7,High
17,341,342,2023-02-12 09:48:40.638,37.885528564453125,24.57780838012696,0.887,489,Very Low
18,351,352,2023-02-12 11:31:05.559,37.30504608154297,25.453105926513672,0.278,71,Medium
19,381,382,2023-02-12 19:43:54.198,37.49484634399414,25.93024444580078,1.515,131,Low
20,391,392,2023-02-12 19:42:30.051,37.91395950317383,25.84589958190918,1.179,77,Low
21,411,412,2023-02-13 03:37:46.554,37.824466705322266,25.86474609375,0.093,1,High
22,421,422,2023-02-13 09:08:39.436,37.40201950073242,25.934946060180664,1.421,188,Low
23,431,432,2023-02-13 18:45:32.485,37.326908111572266,26.134674072265625,1.248,366,Very Low
24,441,442,2023-02-13 06:57:30.878,37.33040237426758,25.34981346130371,1.167,281,Low
25,451,452,2023-02-13 16:34:47.448,38.39010620117188,24.905561447143555,0.874,204,Low
26,461,462,2023-02-13 19:27:36.043,38.289772033691406,24.82270050048828,1.408,563,Very Low
27,471,472,2023-02-13 11:41:43.271,38.23918151855469,24.756797790527344,0.414,71,Medium
28,481,482,2023-02-13 14:16:24.337,38.16292572021485,24.709136962890625,0.205,73,Medium
29,491,492,2023-02-13 23:22:51.200,37.61363220214844,24.12311744689941,2.294,396,Very Low
30,511,512,2023-02-14 03:11:51.395,37.60651779174805,24.09115028381348,1.317,307,Very Low
31,521,522,2023-02-14 07:37:39.885,37.87551498413086,24.529766082763672,0.163,34,High
32,531,532,2023-02-14 06:30:48.946,37.58908462524414,23.92993354797364,1.105,423,Very Low
33,541,542,2023-02-14 08:35:53.166,37.58908462524414,23.92993354797364,2.079,727,Very Low
34,551,552,2023-02-14 10:23:52.329,37.58908462524414,23.92993354797364,0.422,6,High
35,561,562,2023-02-14 13:13:01.307,37.60651779174805,24.09115028381348,1.109,376,Very Low
36,611,612,2023-02-14 22:41:37.662,38.08641815185547,24.66496086120605,0.11,161,Low
